id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
1502509,PA,4748.0,20704.0,12535.0,0.80865,23.0,115.34,15.76,26.0,0.0,0.0,0.0
1721109,TO,2000.0,7439.0,2610.0,0.89947,23.0,104.36,19.42,4069.0,3775.0,0.0,0.0
1302405,AM,11269.0,45339.0,68263.0,0.804,24.0,109.01,16.86,12021.0,2870.0,0.0,0.0
1303957,AM,2665.0,11542.0,10647.0,0.94063,24.0,112.53,17.82,308.0,0.0,0.0,0.0
1301209,AM,17564.0,70506.0,57971.0,0.86342,24.0,103.31,17.33,9640.0,204.0,0.0,0.0
1304005,AM,2825.0,11534.0,3723.0,0.94491,24.0,110.01,19.02,1066.0,0.0,0.0,0.0
1300300,AM,11007.0,41548.0,7653.0,0.89873,24.0,110.81,18.64,20438.0,4091.0,0.0,0.0
1303304,AM,4785.0,23695.0,41180.0,0.87966,24.0,108.33,20.13,1144.0,314.0,0.0,0.0
1300102,AM,4147.0,17123.0,6036.0,0.86822,24.0,109.53,16.28,512.0,361.0,0.0,0.0
1304104,AM,4792.0,19489.0,84946.0,0.79191,24.0,109.7,16.01,3637.0,1275.0,0.0,0.0
1300680,AM,4594.0,23768.0,2589.0,0.95631,24.0,110.79,22.27,1545.0,0.0,0.0,0.0
1301308,AM,5571.0,23473.0,18701.0,0.86176,24.0,107.85,17.77,76.0,0.0,0.0,0.0
1300839,AM,2967.0,13378.0,9456.0,0.91717,24.0,108.4,17.22,755.0,0.0,0.0,0.0
1302702,AM,12170.0,53766.0,48315.0,0.89558,24.0,104.81,19.04,8229.0,1429.0,0.0,0.0
1600238,AP,1796.0,6657.0,4974.0,0.90711,24.0,101.51,17.08,1.0,0.0,82.0,22.0
1600808,AP,3006.0,11244.0,2509.0,0.87396,24.0,106.04,16.92,3.0,0.0,187.0,101.0
1600501,AP,7041.0,27092.0,23034.0,0.93628,24.0,105.4,10.97,8066.0,6188.0,146.0,56.0
2100600,MA,10849.0,37039.0,7440.0,0.80396,24.0,106.11,23.37,8200.0,7494.0,0.0,0.0
2106375,MA,3326.0,13740.0,761.0,0.77523,24.0,102.22,21.04,2056.0,2048.0,0.0,0.0
2112605,MA,8599.0,32790.0,1708.0,0.78529,24.0,103.21,21.97,9.0,0.0,0.0,0.0
2103174,MA,4508.0,16241.0,8401.0,0.79729,24.0,109.03,19.44,468.0,423.0,68.0,0.0
5004809,MS,2492.0,8139.0,417.0,0.84972,24.0,102.43,21.59,4710.0,4627.0,0.0,0.0
5106174,MT,1141.0,4165.0,4035.0,0.82435,24.0,103.29,19.44,1725.0,1321.0,0.0,0.0
1503903,PA,12346.0,50735.0,8305.0,0.93764,24.0,105.77,17.84,128.0,0.0,4.0,0.0
1200336,AC,11865.90909090909,37474.90909090909,7462.454545454545,0.83,25.14,105.89,20.79,1435.6363636363635,1304.0,0.0,0.0
1200054,AC,11865.90909090909,37474.90909090909,7462.454545454545,0.83,25.14,105.89,20.79,1435.6363636363635,740.0,0.0,0.0
1303205,AM,4165.0,15707.0,37777.0,0.8957,25.0,104.34,19.93,4861.0,1121.0,196.0,88.0
1303403,AM,23900.0,96063.0,5956.0,0.95931,25.0,102.22,23.91,5608.0,722.0,0.0,0.0
1302504,AM,26883.0,101637.0,7337.0,0.8897,25.0,104.15,21.1,3813.0,78.0,4.0,0.0
1600535,AP,5012.0,17794.0,4428.0,0.90151,25.0,105.65,18.06,28.0,0.0,142.0,76.0
1600105,AP,2055.0,7911.0,8455.0,0.89526,25.0,108.26,20.41,7.0,0.0,0.0,0.0
1600204,AP,2778.0,10432.0,14117.0,0.899,25.0,110.64,16.71,17.0,0.0,58.0,56.0
2106359,MA,1918.0,7025.0,1403.0,0.7127,25.0,122.3,17.71,7.0,0.0,0.0,0.0
2110278,MA,3550.0,13923.0,1583.0,0.82316,25.0,104.56,24.83,2.0,0.0,0.0,0.0
2109205,MA,3161.0,11340.0,356.0,0.79305,25.0,106.25,23.99,8.0,0.0,3743.0,0.0
2105005,MA,6984.0,25647.0,1715.0,0.81568,25.0,107.88,26.89,30.0,0.0,222.0,0.0
2110401,MA,5019.0,18342.0,931.0,0.79038,25.0,103.25,27.53,1.0,0.0,85.0,0.0
2101970,MA,2146.0,7550.0,400.0,0.80899,25.0,103.06,22.71,39.0,0.0,591.0,0.0
2100105,MA,1699.0,6132.0,371.0,0.7678,25.0,103.92,24.06,1.0,0.0,0.0,0.0
2102036,MA,8264.0,28534.0,2677.0,0.77669,25.0,106.4,22.63,502.0,330.0,0.0,0.0
2102374,MA,2681.0,9720.0,707.0,0.77803,25.0,108.44,24.94,4.0,0.0,511.0,323.0
2106326,MA,6000.0,21131.0,636.0,0.81787,25.0,96.19,22.68,2.0,0.0,0.0,0.0
2111029,MA,3316.0,12251.0,910.0,0.71787,25.0,103.81,23.94,133.0,79.0,0.0,0.0
2112456,MA,7213.0,31614.0,1508.0,0.82449,25.0,96.91,19.97,26.0,0.0,1793.0,0.0
2109403,MA,3604.0,13603.0,1337.0,0.79691,25.0,111.73,27.09,4.0,0.0,281.0,0.0
2100550,MA,2025.0,7170.0,502.0,0.79238,25.0,103.98,23.5,1.0,0.0,0.0,0.0
2100956,MA,7154.0,25478.0,2976.0,0.7501,25.0,106.35,23.97,3508.0,3113.0,0.0,0.0
2102200,MA,8083.0,29628.0,1476.0,0.76364,25.0,104.32,28.03,14.0,0.0,430.0,0.0
2105351,MA,3811.0,13824.0,1244.0,0.74548,25.0,106.26,23.68,1296.0,1187.0,0.0,0.0
3162450,MG,3600.0,13024.0,678.0,0.79976,25.0,103.15,23.87,10398.0,8796.0,0.0,0.0
5003157,MS,4478.0,14207.0,1024.0,0.84956,25.0,96.98,23.53,3663.0,3272.0,0.0,0.0
1500404,PA,17906.0,69250.0,23645.0,0.89182,25.0,105.94,21.23,36.0,0.0,1806.0,1210.0
1507953,PA,21587.0,72364.0,4430.0,0.88618,25.0,101.8,15.04,85.0,0.0,0.0,0.0
1505304,PA,17956.0,68115.0,107614.0,0.92672,25.0,101.83,22.44,3795.0,3253.0,9438.0,4857.0
1504000,PA,7177.0,29525.0,1490.0,0.89351,25.0,107.09,18.31,13.0,0.0,56.0,0.0
1508308,PA,16235.0,58608.0,4973.0,0.80779,25.0,107.98,23.2,0.0,0.0,1577.0,43.0
1501006,PA,4647.0,18188.0,17074.0,0.90959,25.0,110.13,23.82,3187.0,2556.0,0.0,0.0
1500859,PA,9335.0,31548.0,11895.0,0.85046,25.0,108.92,16.64,943.0,808.0,0.0,0.0
1501956,PA,5620.0,19578.0,2420.0,0.79783,25.0,111.55,18.32,34.0,0.0,1030.0,839.0
1507201,PA,8463.0,30585.0,1687.0,0.83702,25.0,109.81,25.87,49.0,0.0,467.0,0.0
1507706,PA,6560.0,25539.0,1632.0,0.90484,25.0,108.24,19.26,61.0,0.0,0.0,0.0
1504950,PA,6025.0,20437.0,2808.0,0.77071,25.0,105.56,17.14,80.0,54.0,0.0,0.0
1500503,PA,9116.0,34173.0,72955.0,0.8742,25.0,106.1,18.85,1088.0,1076.0,1.0,0.0
1506005,PA,9205.0,35427.0,14787.0,0.88558,25.0,107.93,17.95,41.0,0.0,126.0,107.0
1400282,RR,2925.0,10018.0,14012.0,0.79965,25.0,112.94,20.26,1745.0,1513.0,0.0,0.0
1400175,RR,5429.0,18557.0,7665.0,0.90809,25.0,114.17,21.89,5217.0,3287.0,0.0,0.0
1703842,TO,2419.0,8623.0,3234.0,0.86861,25.0,108.26,20.77,6.0,0.0,0.0,0.0
1200500,AC,11865.90909090909,37474.90909090909,7462.454545454545,0.83,25.14,105.89,20.79,1435.6363636363635,966.0,0.0,0.0
1200203,AC,11865.90909090909,37474.90909090909,7462.454545454545,0.83,25.14,105.89,20.79,1435.6363636363635,868.0,0.0,0.0
1301902,AM,27664.0,103209.0,8892.0,0.93927,26.0,104.21,22.52,7996.0,888.0,352.0,0.0
1301704,AM,14416.0,57359.0,33111.0,0.88743,26.0,105.42,20.23,4742.0,1573.0,0.0,0.0
1302009,AM,2599.0,10107.0,4335.0,0.94075,26.0,105.71,21.38,323.0,0.0,0.0,0.0
1303007,AM,4570.0,20036.0,14107.0,0.93221,26.0,106.4,22.28,1042.0,832.0,0.0,0.0
